goal	rule	score
within_region(sunreach, L3)	within_region(A, B) :- part_of(A, B)	1
lives_in(C, A)	lives_in(vessa_lunaris, moonwatch_castle)	1
lives_in(R2, A)	lives_in(pyr_emberfall, ashport)	1
member_of_house(Y, house_riverwyn)	member_of_house(corin_riverwyn, house_riverwyn)	1
age_group(A, B)	age_group(maeve_solaris, adult)	1
lives_in(Y, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
parent(A, R)	parent(corin_riverwyn, nella_riverwyn)	1
road(sunreach, H)	road(sunreach, riverlands)	1
member_of_house(A, B)	member_of_house(evan_riverwyn, house_riverwyn)	1
lives_in(A, B)	lives_in(maris_riverwyn, rivermeet_hall)	1
lives_in(brom_emberfall, A)	lives_in(brom_emberfall, emberfall_hold)	1
sworn_to(A, house_lunaris)	sworn_to(house_thornvale, house_lunaris)	1
parent(X, D)	parent(evan_riverwyn, kellan_riverwyn)	1
age_group(A, B)	age_group(orion_solaris, elder)	1
parent(A, R)	parent(toren_emberfall, ren_emberfall)	1
sworn_to(A, house_emberfall)	sworn_to(house_stoneward, house_emberfall)	1
same_region_person(darian_stoneward, A)	same_region_person(X, Y) :- resident_of(X, R), resident_of(Y, R)	1
member_of_house(H2, A)	member_of_house(caelan_solaris, house_solaris)	1
lives_in(R1, A)	lives_in(cassian_lunaris, moonwatch_castle)	1
lives_in(H, A)	lives_in(rowan_thornvale, thornvale_manor)	1
parent(A, R2)	parent(darian_stoneward, kara_stoneward)	1
resident_of(cassian_lunaris, moonfen)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
bonds_with(aelric_solaris, A)	bonds_with(aelric_solaris, solara)	1
parent(A, L3)	parent(toren_emberfall, sylvi_emberfall)	1
parent(R2, S)	parent(selene_lunaris, talia_lunaris)	1
connected_region(stonecoast, B)	connected_region(A, B) :- road(A, B)	1
lives_in(L1, thornvale_manor)	lives_in(faye_thornvale, thornvale_manor)	1
connected_region(moonfen, A)	connected_region(A, B) :- road(A, B)	1
parent(L, R)	parent(evan_riverwyn, rhea_riverwyn)	1
member_of_house(S, house_riverwyn)	member_of_house(alina_riverwyn, house_riverwyn)	1
serves(X, Z)	serves(ash_thornvale, lyra_thornvale)	1
member_of_house(Z, house_thornvale)	member_of_house(isolde_thornvale, house_thornvale)	1
age_group(A, B)	age_group(talia_lunaris, adult)	1
resident_of(pyr_emberfall, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
member_of_house(L2, H1)	member_of_house(mira_riverwyn, house_riverwyn)	1
serves(X, A)	serves(liora_solaris, aelric_solaris)	1
serves(A, B)	serves(mira_riverwyn, maris_riverwyn)	1
serves(L, A)	serves(faye_thornvale, lyra_thornvale)	1
member_of_house(L, A)	member_of_house(myra_emberfall, house_emberfall)	1
parent(X, L1)	parent(rowan_thornvale, lyra_thornvale)	1
lives_in(L, A)	lives_in(tessa_stoneward, stonegate_keep)	1
member_of_house(S, house_solaris)	member_of_house(seris_solaris, house_solaris)	1
parent(X, D)	parent(orion_solaris, aelric_solaris)	1
member_of_house(H, A)	member_of_house(leon_lunaris, house_lunaris)	1
lives_in(Y, A)	lives_in(cedric_thornvale, thornvale_manor)	1
lives_in(A, stonegate_keep)	lives_in(petra_stoneward, stonegate_keep)	1
member_of_house(H2, house_solaris)	member_of_house(aelric_solaris, house_solaris)	1
resident_of(B, D)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(aelric_solaris, R)	parent(aelric_solaris, liora_solaris)	1
lives_in(A, B)	lives_in(maeve_solaris, sunspire_keep)	1
parent(A, S)	parent(petra_stoneward, bram_stoneward)	1
lives_in(L3, stonegate_keep)	lives_in(bram_stoneward, stonegate_keep)	1
member_of_house(L, house_stoneward)	member_of_house(nash_stoneward, house_stoneward)	1
parent(B, C)	parent(maeve_solaris, liora_solaris)	1
resident_of(briar_thornvale, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
member_of_house(B, house_emberfall)	member_of_house(ren_emberfall, house_emberfall)	1
road(stonecoast, riverlands)	road(stonecoast, riverlands)	1
parent(B, X)	parent(myra_emberfall, ren_emberfall)	1
member_of_house(L, A)	member_of_house(orion_solaris, house_solaris)	1
parent(R2, darian_stoneward)	parent(tessa_stoneward, darian_stoneward)	1
age_group(A, B)	age_group(nyra_lunaris, elder)	1
parent(R2, S)	parent(lyra_thornvale, ash_thornvale)	1
resident_of(maris_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
resident_of(evan_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
controls_region(house_stoneward, L3)	controls_region(H, R) :- seat_of(H, S), located_in(S, R1), within_region(R1, R)	1
lives_in(B, emberfall_hold)	lives_in(ren_emberfall, emberfall_hold)	1
lives_in(L1, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
parent(toren_emberfall, R2)	parent(toren_emberfall, ren_emberfall)	1
lives_in(L1, A)	lives_in(vessa_lunaris, moonwatch_castle)	1
lives_in(D, emberfall_hold)	lives_in(ren_emberfall, emberfall_hold)	1
lives_in(H1, A)	lives_in(rhea_riverwyn, rivermeet_hall)	1
parent(R2, R1)	parent(brom_emberfall, garrick_emberfall)	1
connected_region(thornwood, L2)	connected_region(A, C) :- road(A, B), connected_region(B, C)	1
age_group(L, elder)	age_group(elara_solaris, elder)	1
road(A, H)	road(moonfen, thornwood)	1
parent(toren_emberfall, R2)	parent(toren_emberfall, pyr_emberfall)	1
lives_in(R2, A)	lives_in(kellan_riverwyn, reedcross)	1
member_of_house(R1, A)	member_of_house(corin_riverwyn, house_riverwyn)	1
ancestor(maeve_solaris, B)	ancestor(X, Y) :- parent(X, Y)	1
lives_in(R1, rivermeet_hall)	lives_in(maris_riverwyn, rivermeet_hall)	1
resident_of(C, southern_realm)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
parent(C, L3)	parent(kaela_emberfall, toren_emberfall)	1
parent(L, R)	parent(orion_solaris, seris_solaris)	1
member_of_house(R2, A)	member_of_house(myra_emberfall, house_emberfall)	1
parent(B, C)	parent(selene_lunaris, talia_lunaris)	1
age_group(A, B)	age_group(evan_riverwyn, adult)	1
parent(R2, maeve_solaris)	parent(elara_solaris, maeve_solaris)	1
member_of_house(Z, house_thornvale)	member_of_house(ash_thornvale, house_thornvale)	1
lives_in(B, greenhollow)	lives_in(ash_thornvale, greenhollow)	1
lives_in(theron_lunaris, A)	lives_in(theron_lunaris, moonwatch_castle)	1
resident_of(B, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
resident_of(rhea_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
member_of_house(Z, house_emberfall)	member_of_house(garrick_emberfall, house_emberfall)	1
lives_in(A, B)	lives_in(lyra_thornvale, thornvale_manor)	1
sworn_to(A, B)	sworn_to(house_riverwyn, house_solaris)	1
age_group(D, adult)	age_group(darius_solaris, adult)	1
can_travel(L1, G)	can_travel(X, R2) :- resident_of(X, R1), connected_region(R1, R2)	1
connected_region(stonecoast, S)	connected_region(A, B) :- road(A, B)	1
parent(B, X)	parent(myra_emberfall, pyr_emberfall)	1
lives_in(H, A)	lives_in(cedric_thornvale, thornvale_manor)	1
male(H1)	male(rowan_thornvale)	1
lives_in(B, A)	lives_in(kellan_riverwyn, reedcross)	1
lives_in(L3, A)	lives_in(pyr_emberfall, ashport)	1
fealty_chain(C, A)	fealty_chain(X, L) :- serves(X, L)	1
female(H1)	female(isolde_thornvale)	1
female(maris_riverwyn)	female(maris_riverwyn)	1
parent(petra_stoneward, B)	parent(petra_stoneward, bram_stoneward)	1
parent(cassian_lunaris, R1)	parent(cassian_lunaris, leon_lunaris)	1
lives_in(D, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
parent(C, A)	parent(toren_emberfall, ren_emberfall)	1
parent(C, A)	parent(toren_emberfall, pyr_emberfall)	1
located_in(stonegate_keep, G)	located_in(stonegate_keep, stonecoast)	1
lives_in(H1, stonegate_keep)	lives_in(galen_stoneward, stonegate_keep)	1
adult(darius_solaris)	adult(X) :- age_group(X, adult)	1
parent(L, toren_emberfall)	parent(kaela_emberfall, toren_emberfall)	1
can_travel(A, moonfen)	can_travel(X, R) :- resident_of(X, R)	1
member_of_house(H2, house_emberfall)	member_of_house(myra_emberfall, house_emberfall)	1
lives_in(H1, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
lives_in(B, thornvale_manor)	lives_in(briar_thornvale, thornvale_manor)	1
parent(C, L3)	parent(galen_stoneward, petra_stoneward)	1
member_of_house(Z, house_riverwyn)	member_of_house(kellan_riverwyn, house_riverwyn)	1
road(riverlands, L)	road(riverlands, cinderlands)	1
lives_in(Y, stonegate_keep)	lives_in(bram_stoneward, stonegate_keep)	1
lives_in(D, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
lives_in(H1, A)	lives_in(cassian_lunaris, moonwatch_castle)	1
part_of(A, H1)	part_of(riverlands, central_realm)	1
parent(C, A)	parent(corin_riverwyn, nella_riverwyn)	1
parent(B, A)	parent(toren_emberfall, ren_emberfall)	1
part_of(cinderlands, Z)	part_of(cinderlands, eastern_realm)	1
parent(L, R)	parent(darian_stoneward, nash_stoneward)	1
parent(X, D)	parent(theron_lunaris, vessa_lunaris)	1
can_travel(B, A)	can_travel(X, R2) :- resident_of(X, R1), connected_region(R1, R2)	1
lives_in(R2, A)	lives_in(garrick_emberfall, emberfall_hold)	1
lives_in(A, B)	lives_in(pyr_emberfall, ashport)	1
parent(B, A)	parent(toren_emberfall, pyr_emberfall)	1
parent(X, L1)	parent(kaela_emberfall, garrick_emberfall)	1
road(A, L2)	road(thornwood, moonfen)	1
parent(G, cassian_lunaris)	parent(theron_lunaris, cassian_lunaris)	1
connected_region(riverlands, moonfen)	connected_region(A, B) :- road(A, B)	1
age_group(L, adult)	age_group(nash_stoneward, adult)	1
parent(R, A)	parent(theron_lunaris, vessa_lunaris)	1
parent(A, S)	parent(aelric_solaris, caelan_solaris)	1
serves(L, A)	serves(darius_solaris, aelric_solaris)	1
member_of_house(H, A)	member_of_house(galen_stoneward, house_stoneward)	1
eligible_council(H)	eligible_council(X) :- noble(X), adult(X)	1
member_of_house(H, A)	member_of_house(cassian_lunaris, house_lunaris)	1
lives_in(briar_thornvale, A)	lives_in(briar_thornvale, thornvale_manor)	1
road(A, S)	road(stonecoast, riverlands)	1
ancestor(lyra_thornvale, S)	ancestor(X, Y) :- parent(X, Y)	1
road(S, A)	road(moonfen, thornwood)	1
lives_in(S, reedcross)	lives_in(mira_riverwyn, reedcross)	1
part_of(A, Z)	part_of(moonfen, northern_realm)	1
ancestor(maris_riverwyn, B)	ancestor(X, Y) :- parent(X, Y)	1
resident_of(H, A)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(A, R2)	parent(galen_stoneward, petra_stoneward)	1
located_in(A, D)	located_in(rivermeet_hall, riverlands)	1
member_of_house(L, house_emberfall)	member_of_house(myra_emberfall, house_emberfall)	1
resident_of(nella_riverwyn, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
serves(L, A)	serves(nella_riverwyn, maris_riverwyn)	1
lives_in(C, A)	lives_in(mira_riverwyn, reedcross)	1
lives_in(D, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
parent(B, C)	parent(maris_riverwyn, mira_riverwyn)	1
parent(B, C)	parent(lyra_thornvale, ash_thornvale)	1
lives_in(L3, granite_bay)	lives_in(kara_stoneward, granite_bay)	1
parent(B, A)	parent(corin_riverwyn, nella_riverwyn)	1
lives_in(G, A)	lives_in(myra_emberfall, emberfall_hold)	1
located_in(A, thornwood)	located_in(thornvale_manor, thornwood)	1
parent(A, R)	parent(isolde_thornvale, lyra_thornvale)	1
lives_in(C, thornvale_manor)	lives_in(cedric_thornvale, thornvale_manor)	1
lives_in(H, A)	lives_in(evan_riverwyn, rivermeet_hall)	1
road(riverlands, A)	road(riverlands, cinderlands)	1
member_of_house(L1, A)	member_of_house(nella_riverwyn, house_riverwyn)	1
serves(B, A)	serves(ren_emberfall, toren_emberfall)	1
parent(A, evan_riverwyn)	parent(alina_riverwyn, evan_riverwyn)	1
resident_of(H, stonecoast)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(B, X)	parent(alina_riverwyn, evan_riverwyn)	1
lives_in(G, A)	lives_in(selene_lunaris, moonwatch_castle)	1
parent(aelric_solaris, A)	parent(aelric_solaris, caelan_solaris)	1
located_in(ashport, cinderlands)	located_in(ashport, cinderlands)	1
parent(X, D)	parent(cedric_thornvale, faye_thornvale)	1
lives_in(Y, A)	lives_in(corin_riverwyn, rivermeet_hall)	1
lives_in(R2, moonwatch_castle)	lives_in(vessa_lunaris, moonwatch_castle)	1
serves(A, H1)	serves(caelan_solaris, aelric_solaris)	1
lives_in(C, A)	lives_in(cedric_thornvale, thornvale_manor)	1
member_of_house(L, A)	member_of_house(owen_stoneward, house_stoneward)	1
located_in(A, thornwood)	located_in(greenhollow, thornwood)	1
member_of_house(L, house_stoneward)	member_of_house(tessa_stoneward, house_stoneward)	1
lives_in(L3, A)	lives_in(galen_stoneward, stonegate_keep)	1
parent(R2, R1)	parent(isolde_thornvale, briar_thornvale)	1
resident_of(darian_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
lives_in(D, A)	lives_in(myra_emberfall, emberfall_hold)	1
serves(C, A)	serves(sylvi_emberfall, toren_emberfall)	1
member_of_house(H, H1)	member_of_house(wren_thornvale, house_thornvale)	1
member_of_house(H, A)	member_of_house(talia_lunaris, house_lunaris)	1
lives_in(B, A)	lives_in(theron_lunaris, moonwatch_castle)	1
lives_in(X, emberfall_hold)	lives_in(kaela_emberfall, emberfall_hold)	1
road(A, G)	road(stonecoast, riverlands)	1
parent(selene_lunaris, R)	parent(selene_lunaris, leon_lunaris)	1
member_of_house(H, H1)	member_of_house(nash_stoneward, house_stoneward)	1
lives_in(G, stonegate_keep)	lives_in(petra_stoneward, stonegate_keep)	1
female(maeve_solaris)	female(maeve_solaris)	1
lives_in(X, moonwatch_castle)	lives_in(iris_lunaris, moonwatch_castle)	1
ancestor(A, R1)	ancestor(X, Y) :- parent(X, Z), ancestor(Z, Y)	1
lives_in(R2, A)	lives_in(theron_lunaris, moonwatch_castle)	1
located_in(A, B)	located_in(granite_bay, stonecoast)	1
lives_in(R1, A)	lives_in(sylvi_emberfall, ashport)	1
located_in(greenhollow, B)	located_in(greenhollow, thornwood)	1
road(A, L)	road(moonfen, thornwood)	1
lives_in(R1, A)	lives_in(leon_lunaris, mistharbor)	1
lives_in(A, thornvale_manor)	lives_in(rowan_thornvale, thornvale_manor)	1
female(H1)	female(nella_riverwyn)	1
parent(R2, R1)	parent(selene_lunaris, iris_lunaris)	1
located_in(B, A)	located_in(moonwatch_castle, moonfen)	1
member_of_house(H2, house_stoneward)	member_of_house(bram_stoneward, house_stoneward)	1
connected_region(moonfen, S)	connected_region(A, B) :- road(A, B)	1
parent(A, R2)	parent(aelric_solaris, caelan_solaris)	1
parent(maeve_solaris, R)	parent(maeve_solaris, caelan_solaris)	1
lives_in(L1, A)	lives_in(cedric_thornvale, thornvale_manor)	1
resident_of(nella_riverwyn, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(R2, R1)	parent(myra_emberfall, sylvi_emberfall)	1
parent(C, L3)	parent(theron_lunaris, cassian_lunaris)	1
parent(C, A)	parent(lyra_thornvale, wren_thornvale)	1
resident_of(A, B)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
female(nyra_lunaris)	female(nyra_lunaris)	1
parent(A, R1)	parent(lyra_thornvale, ash_thornvale)	1
parent(R2, R1)	parent(corin_riverwyn, maris_riverwyn)	1
lives_in(D, stonegate_keep)	lives_in(bram_stoneward, stonegate_keep)	1
resident_of(bram_stoneward, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
road(cinderlands, R)	road(cinderlands, riverlands)	1
parent(R2, S)	parent(evan_riverwyn, mira_riverwyn)	1
road(A, L2)	road(riverlands, sunreach)	1
member_of_house(H2, house_solaris)	member_of_house(darius_solaris, house_solaris)	1
lives_in(H, A)	lives_in(corin_riverwyn, rivermeet_hall)	1
road(riverlands, R)	road(riverlands, cinderlands)	1
age_group(H1, adult)	age_group(aelric_solaris, adult)	1
lives_in(B, A)	lives_in(bram_stoneward, stonegate_keep)	1
parent(B, C)	parent(petra_stoneward, nash_stoneward)	1
member_of_house(kaela_emberfall, house_emberfall)	member_of_house(kaela_emberfall, house_emberfall)	1
age_group(D, adult)	age_group(mira_riverwyn, adult)	1
lives_in(R2, thornvale_manor)	lives_in(lyra_thornvale, thornvale_manor)	1
parent(A, R)	parent(petra_stoneward, bram_stoneward)	1
lives_in(A, ashport)	lives_in(pyr_emberfall, ashport)	1
parent(A, R2)	parent(maris_riverwyn, kellan_riverwyn)	1
parent(X, D)	parent(cassian_lunaris, talia_lunaris)	1
member_of_house(R1, A)	member_of_house(darius_solaris, house_solaris)	1
lives_in(S, rivermeet_hall)	lives_in(evan_riverwyn, rivermeet_hall)	1
lives_in(R2, A)	lives_in(bram_stoneward, stonegate_keep)	1
parent(cedric_thornvale, L3)	parent(cedric_thornvale, faye_thornvale)	1
ancestor(lyra_thornvale, A)	ancestor(X, Y) :- parent(X, Y)	1
member_of_house(L2, H1)	member_of_house(alina_riverwyn, house_riverwyn)	1
parent(A, R2)	parent(theron_lunaris, cassian_lunaris)	1
parent(B, X)	parent(cedric_thornvale, wren_thornvale)	1
lives_in(S, sunspire_keep)	lives_in(caelan_solaris, sunspire_keep)	1
parent(B, A)	parent(lyra_thornvale, wren_thornvale)	1
located_in(sunspire_keep, H)	located_in(sunspire_keep, sunreach)	1
age_group(A, B)	age_group(tessa_stoneward, elder)	1
resident_of(selene_lunaris, moonfen)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
road(riverlands, B)	road(riverlands, cinderlands)	1
lives_in(A, B)	lives_in(darian_stoneward, stonegate_keep)	1
lives_in(R2, A)	lives_in(toren_emberfall, emberfall_hold)	1
lives_in(R2, A)	lives_in(darius_solaris, goldmarket)	1
road(riverlands, R)	road(riverlands, stonecoast)	1
lives_in(R2, rivermeet_hall)	lives_in(nella_riverwyn, rivermeet_hall)	1
adult(evan_riverwyn)	adult(X) :- age_group(X, adult)	1
member_of_house(S, house_emberfall)	member_of_house(myra_emberfall, house_emberfall)	1
located_in(ashport, A)	located_in(ashport, cinderlands)	1
parent(C, A)	parent(elara_solaris, seris_solaris)	1
member_of_house(L3, A)	member_of_house(pyr_emberfall, house_emberfall)	1
sworn_to(house_thornvale, A)	sworn_to(house_thornvale, house_lunaris)	1
parent(C, L3)	parent(rowan_thornvale, cedric_thornvale)	1
lives_in(H2, emberfall_hold)	lives_in(ren_emberfall, emberfall_hold)	1
lives_in(L3, sunspire_keep)	lives_in(caelan_solaris, sunspire_keep)	1
resident_of(kaela_emberfall, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
parent(A, C)	parent(tessa_stoneward, darian_stoneward)	1
lives_in(S, A)	lives_in(galen_stoneward, stonegate_keep)	1
serves(L, A)	serves(evan_riverwyn, aelric_solaris)	1
parent(X, D)	parent(toren_emberfall, sylvi_emberfall)	1
part_of(A, Z)	part_of(western_realm, kingdom_asteria)	1
lives_in(R2, A)	lives_in(liora_solaris, goldmarket)	1
parent(A, B)	parent(selene_lunaris, leon_lunaris)	1
resident_of(A, Z)	resident_of(X, R) :- lives_in(X, S), located_in(S, R1), part_of(R1, R)	1
lives_in(B, A)	lives_in(toren_emberfall, emberfall_hold)	1
part_of(thornwood, southern_realm)	part_of(thornwood, southern_realm)	1
lives_in(C, A)	lives_in(corin_riverwyn, rivermeet_hall)	1
parent(A, B)	parent(cedric_thornvale, ash_thornvale)	1
lives_in(B, A)	lives_in(darius_solaris, goldmarket)	1
serves(X, Z)	serves(rhea_riverwyn, maris_riverwyn)	1
lives_in(G, greenhollow)	lives_in(wren_thornvale, greenhollow)	1
lives_in(A, B)	lives_in(kaela_emberfall, emberfall_hold)	1
parent(A, S)	parent(alina_riverwyn, evan_riverwyn)	1
located_in(A, sunreach)	located_in(goldmarket, sunreach)	1
parent(B, C)	parent(evan_riverwyn, mira_riverwyn)	1
part_of(A, Z)	part_of(thornwood, southern_realm)	1
lives_in(X, thornvale_manor)	lives_in(isolde_thornvale, thornvale_manor)	1
part_of(A, Z)	part_of(riverlands, central_realm)	1
parent(C, L3)	parent(kaela_emberfall, myra_emberfall)	1
age_group(L, adult)	age_group(wren_thornvale, adult)	1
parent(C, A)	parent(isolde_thornvale, briar_thornvale)	1
lives_in(Y, A)	lives_in(owen_stoneward, stonegate_keep)	1
lives_in(L1, thornvale_manor)	lives_in(rowan_thornvale, thornvale_manor)	1
lives_in(H, A)	lives_in(orion_solaris, sunspire_keep)	1
adult(faye_thornvale)	adult(X) :- age_group(X, adult)	1
parent(A, B)	parent(aelric_solaris, darius_solaris)	1
parent(B, X)	parent(isolde_thornvale, cedric_thornvale)	1
lives_in(B, A)	lives_in(liora_solaris, goldmarket)	1
lives_in(darian_stoneward, stonegate_keep)	lives_in(darian_stoneward, stonegate_keep)	1
lives_in(X, moonwatch_castle)	lives_in(vessa_lunaris, moonwatch_castle)	1
regional_subject(H, L3)	regional_subject(X, R) :- member_of_house(X, H), controls_region(H, R)	1
parent(R2, R1)	parent(maeve_solaris, liora_solaris)	1
parent(B, A)	parent(selene_lunaris, iris_lunaris)	1
parent(C, A)	parent(kaela_emberfall, toren_emberfall)	1
member_of_house(A, house_riverwyn)	member_of_house(rhea_riverwyn, house_riverwyn)	1
road(thornwood, L)	road(thornwood, moonfen)	1
resident_of(H1, stonecoast)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
controls_region(house_lunaris, L3)	controls_region(H, R) :- seat_of(H, S), located_in(S, R1), within_region(R1, R)	1
road(A, L2)	road(moonfen, thornwood)	1
part_of(stonecoast, S)	part_of(stonecoast, southern_realm)	1
serves(L, H1)	serves(rhea_riverwyn, maris_riverwyn)	1
member_of_house(Z, house_solaris)	member_of_house(maeve_solaris, house_solaris)	1
age_group(D, adult)	age_group(aelric_solaris, adult)	1
lives_in(Y, thornvale_manor)	lives_in(lyra_thornvale, thornvale_manor)	1
parent(A, R2)	parent(kaela_emberfall, myra_emberfall)	1
lives_in(B, A)	lives_in(wren_thornvale, greenhollow)	1
parent(A, S)	parent(cedric_thornvale, wren_thornvale)	1
lives_in(D, A)	lives_in(petra_stoneward, stonegate_keep)	1
parent(C, A)	parent(myra_emberfall, sylvi_emberfall)	1
parent(B, A)	parent(isolde_thornvale, briar_thornvale)	1
parent(petra_stoneward, L3)	parent(petra_stoneward, kara_stoneward)	1
parent(A, R)	parent(aelric_solaris, caelan_solaris)	1
resident_of(kaela_emberfall, cinderlands)	resident_of(X, R) :- lives_in(X, S), located_in(S, R)	1
sworn_to(A, house_solaris)	sworn_to(house_riverwyn, house_solaris)	1
serves(L, A)	serves(talia_lunaris, selene_lunaris)	1
member_of_house(H, H1)	member_of_house(maris_riverwyn, house_riverwyn)	1
lives_in(R1, moonwatch_castle)	lives_in(selene_lunaris, moonwatch_castle)	1
lives_in(R2, A)	lives_in(wren_thornvale, greenhollow)	1
